"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"XYZ Bank Application","Bank Manager Operations","View Customers","0","0","1","0","0"
"XYZ Bank Application","Customer Banking Operations","Transaction History","0","0","2","0","0"
"XYZ Bank Application","Bank Manager Operations","Add Customer","0","0","4","0","0"
"XYZ Bank Application","Customer Banking Operations","Transaction Security","0","0","1","0","0"
"XYZ Bank Application","Bank Manager Operations","Delete Customer","0","0","2","0","0"
"XYZ Bank Application","Customer Banking Operations","Withdraw Validation","0","0","2","0","0"
"XYZ Bank Application","Bank Manager Operations","Input Validation","3","0","0","0","0"
"XYZ Bank Application","Customer Banking Operations","Withdraw Funds","0","0","1","0","0"
"XYZ Bank Application","End-to-End Lifecycle","Full Customer Lifecycle","0","0","1","0","0"
"XYZ Bank Application","Customer Banking Operations","Customer Login","0","0","1","0","0"
"XYZ Bank Application","Bank Manager Operations","Open Account","0","0","1","0","0"
"XYZ Bank Application","Customer Banking Operations","Deposit Validation","0","0","1","0","0"
"XYZ Bank Application","Customer Banking Operations","View Transactions","0","0","1","0","0"
"XYZ Bank Application","Customer Banking Operations","Deposit Funds","0","0","1","0","0"
